title,category,license,author,asset_url,github_url
Godot Atlas Cutter,2D Tools,MIT,newold33,https://godotengine.org/asset-library/asset/2590,https://github.com/newold3/Auto-Slice-Atlas
Packed Scene Instantiater,Scripts,MIT,Yukana,https://godotengine.org/asset-library/asset/3754,https://github.com/Lazy-Rabbit-2001/godot-addon-packed-scene-instantiater
Takin Game Template,Templates,MIT,TinyTakinTeller_,https://godotengine.org/asset-library/asset/3872,https://github.com/TinyTakinTeller/TakinGodotTemplate
Godot 3D Flight Control Tutorial,Demos,MIT,UtMan1988,https://godotengine.org/asset-library/asset/2272,https://github.com/UtMan88/Godot3DFlightControls
Thirdperson Controller (.NET),Templates,MIT,vaporvee,https://godotengine.org/asset-library/asset/1603,https://github.com/vaporvee/gd-net-thirdpersoncontroller
3D Cross The Road Template,Templates,MIT,dwarfpreon,https://godotengine.org/asset-library/asset/1501,https://github.com/vertexcube/3D-Cross-The-Road-Template
3d Maze Generator,3D Tools,MIT,mojoyup1528,https://godotengine.org/asset-library/asset/3749,https://github.com/mojoyup1528/maze_generator3D
Alexandria - alexandria.netserver,Scripts,MIT,BryceDixon,https://godotengine.org/asset-library/asset/3215,https://github.com/BtheDestroyer/godot-alexandria
DungeonCrawler3D,Scripts,CC0,slime3000fly,https://godotengine.org/asset-library/asset/3941,https://github.com/Rebelion-Board-game/DungonCrawler
Follow Parent,Misc,MIT,KarlTheCool,https://godotengine.org/asset-library/asset/1905,https://github.com/KarlTheCool/FollowParent
GdScript2All,Tools,GPLv3,Lcbx,https://godotengine.org/asset-library/asset/3373,https://github.com/Lcbx/GdScript2All
Godot Tiled Tools,2D Tools,MIT,notman,https://godotengine.org/asset-library/asset/1146,https://github.com/Frontrider/Godot-Tiled-Tools
Godot-Spyglass,2D Tools,MIT,NovaDC,https://godotengine.org/asset-library/asset/3462,https://github.com/NovaDC/Godot-Spyglass
GodotTouchCamera,Scripts,MIT,Dion,https://godotengine.org/asset-library/asset/1810,https://github.com/DionHo/GodotTouchCamera
Kenney's UI Audio,Misc,CC0,Lopano,https://godotengine.org/asset-library/asset/1837,https://github.com/Loppansson/kenney-ui-audio-for-godot
localization_with_google_sheet,Tools,MIT,palmasop,https://godotengine.org/asset-library/asset/4063,https://github.com/palmasop/localization_with_google_sheet
RhythmNotifier - Sync Your Game to the Beat of the Music (Sound & Audio),Tools,MIT,jumpingmechanic,https://godotengine.org/asset-library/asset/3417,https://github.com/michaelgundlach/rhythm_notifier
TextEditor Integration,Tools,MIT,fenix,https://godotengine.org/asset-library/asset/423,https://github.com/fenix-hub/godot-engine.text-editor
TODO 4,Tools,MIT,Vacui,https://godotengine.org/asset-library/asset/2172,https://github.com/Vacui/TODO_4
Virtual Joystick,Tools,MIT,MarcoFazio,https://godotengine.org/asset-library/asset/1787,https://github.com/MarcoFazioRandom/Virtual-Joystick-Godot
Visibility shortcut,Misc,MIT,Janders,https://godotengine.org/asset-library/asset/2645,https://github.com/Janders1800/godot-visibility-shortcut
"""Immersive"" First Person Controller",3D Tools,MIT,levox.,https://godotengine.org/asset-library/asset/3198,https://github.com/Levox98/Godot_First-Person-Controller
.mtl loader,Materials,MIT,barnoftheyard,https://godotengine.org/asset-library/asset/638,https://github.com/Quakermann/.mtl-loader
1$ gesture recogniser and recorder,2D Tools,MIT,blurymind,https://godotengine.org/asset-library/asset/91,https://github.com/blurymind/1dollar_gesture_recogniser
10 Simple Shader Examples (with Video),Demos,MIT,ThinkWithGames,https://godotengine.org/asset-library/asset/2098,https://github.com/Goldenlion5648/ShaderExamplesWithVideo
10+ GDScript Tips Script (With Video),Scripts,MIT,ThinkWithGames,https://godotengine.org/asset-library/asset/2335,https://github.com/Goldenlion5648/GDScriptTipsForGodot
"2, 4, 8 Godot-multidirectional-joystick",Tools,CC0,jstnjrg,https://godotengine.org/asset-library/asset/2094,https://github.com/JstnJrg/Godot_multidirectional_joystick
2.5D Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/583,https://github.com/godotengine/godot-demo-projects
2.5D Game Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2783,https://github.com/godotengine/godot-demo-projects
