title,category,license,author,asset_url
Kenney Prototype Tools,3D Tools,CC0,MrMinimal,https://godotengine.org/asset-library/asset/1086
.nw Level Importer,2D Tools,MIT,irxzirox,https://godotengine.org/asset-library/asset/2252
2.5D Sprite Rotator,Scripts,MIT,styr0x,https://godotengine.org/asset-library/asset/2116
2.5D World Map with Selection,Templates,MIT,RafGro,https://godotengine.org/asset-library/asset/993
2048 Demo,Demos,MIT,DrunkBull,https://godotengine.org/asset-library/asset/1577
2090s Language System,Scripts,Apache-2.0,NeroNekro,https://godotengine.org/asset-library/asset/2458
2090s Storage System,Scripts,Apache-2.0,NeroNekro,https://godotengine.org/asset-library/asset/2441
2D Camera Controller Singleton / with Dev Tools,2D Tools,GPLv3,jessejburton,https://godotengine.org/asset-library/asset/893
2D Camera Limiter,2D Tools,MIT,markopolodev,https://godotengine.org/asset-library/asset/242
2D Dodge The Creeps Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/515
2D Dodge The Creeps Demo (Mono version),Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/534
2D Dungeon Generator,2D Tools,MIT,halfwaywrong,https://godotengine.org/asset-library/asset/97
2D Finite State Machine Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/516
2D Flipscreen Library with Scrolling,Templates,MIT,chucklepie,https://godotengine.org/asset-library/asset/952
2D Flocking Demo,Demos,GPLv3,meloonics,https://godotengine.org/asset-library/asset/488
2D GD Paint Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/517
2D HDR Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/110
2D Hexagonal Map Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/111
2D in 3D Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/129
2D Isometric Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/112
2D Kinematic Character Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/113
2D Kinematic Character Demo CS,Demos,MIT,MugenTwo,https://godotengine.org/asset-library/asset/494
2D Light Masks Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/115
2D Lights and Shadows Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/116
2D Movement Controller (C#),Templates,MIT,leoyzhang,https://godotengine.org/asset-library/asset/4011
2D Navigation Astar Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/519
2D Navigation Astar Demo CS,Demos,MIT,MugenTwo,https://godotengine.org/asset-library/asset/684
2D Navigation Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/117
2D Navigation Demo CS,Demos,MIT,MugenTwo,https://godotengine.org/asset-library/asset/492
2D outline shader,Shaders,MIT,Julian-Vos,https://godotengine.org/asset-library/asset/2829
2D outline shader,Shaders,MIT,Julian-Vos,https://godotengine.org/asset-library/asset/2830
2D Particles Demo,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/118
2D Physics Platformer Demo (RigidBody),Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/119
2D Physics Platformer Demo (Rigidbody) CS,Demos,MIT,MugenTwo,https://godotengine.org/asset-library/asset/553
